,car_brand,car_model,car_year,car_mileage,car_price,source
12649,FORD,ECONOVAN貨車 ,2010,135343,228000,SUM
12650,BENZ,C-CLASS SEDAN W205 ,2016,39730,1398000,SUM
12651,BENZ,C-CLASS SEDAN W205 ,2016,69504,1358000,SUM
12652,HONDA,FIT ,2013,129329,368000,SUM
12653,TOYOTA,YARIS ,2015,110000,398000,SUM
12654,MAZDA,MAZDA 5 ,2013,93244,438000,SUM
12655,TOYOTA,WISH ,2013,98000,488000,SUM
12656,TOYOTA,VIOS ,2016,100953,315000,SUM
12657,MITSUBISHI,COLT PLUS ,2019,13246,388000,SUM
12658,MITSUBISHI,VERYCA 貨車,2016,123015,328000,SUM
12659,TOYOTA,CAMRY ,2014,283563,348000,SUM
12660,MITSUBISHI,SUPER DELICA,2018,31119,408000,SUM
12661,MAZDA,MAZDA 3 ,2009,151031,238000,SUM
12662,TOYOTA,RAV4 ,2019,10800,958000,SUM
12663,TOYOTA,ALTIS ,2010,240000,198000,SUM
12664,HYUNDAI,ELANTRA ,2012,115000,314000,SUM
12665,BENZ,GLA-CLASS X156 ,2015,90000,1068000,SUM
12666,NISSAN,TIIDA 5D ,2012,147912,258000,SUM
