,auto_brand_en,item_kind_name_en,car_year,car_mileage,car_price,source
10611,Ford,I-Max,2011,211000,208000,8891
10612,Audi,A5 Sportback,2010,186000,458000,8891
10613,Ford,Escape,2004,230000,85000,8891
10614,Mercedes-Benz,CLA Shooting Brake,2015,62000,1128000,8891
10615,Mitsubishi,Canter,2012,155000,0,8891
10616,Mercedes-Benz,CLA,2015,49000,1398000,8891
10617,Toyota,RAV4,2018,39000,758000,8891
10618,Honda,CR-V,2017,76000,698000,8891
10619,Toyota,Yaris,2012,90000,325000,8891
10620,BMW,X1,2019,36000,1180000,8891
10621,Toyota,Camry,2016,70000,460000,8891
10622,Lexus,IS,2015,80000,828000,8891
10623,Mercedes-Benz,E-Class Sedan,2017,37000,1899000,8891
10624,Porsche,Cayenne S,2007,130000,458000,8891
10625,BMW,5-Series Touring,2007,190000,250000,8891
10626,Audi,A4 Sedan,2016,50000,1198000,8891
10627,Mercedes-Benz,C-Class Sedan,2008,128000,468000,8891
10628,Mercedes-Benz,E-Class Sedan,2009,212000,550000,8891
10629,Mercedes-Benz,S-Class Sedan,2010,93000,458000,8891
10630,Nissan,350Z,2005,151000,398000,8891
10631,BMW,3-Series Sedan,2013,159000,850000,8891
10632,BMW,5-Series Sedan,2011,185000,658000,8891
10633,BMW,1-Series Hatchback,2012,114000,668000,8891
10634,BMW,5-Series GT,2011,200000,598000,8891
10635,Volkswagen,Golf,2010,152000,238000,8891
10636,BMW,X1,2010,155000,458000,8891
10637,Ford,Fiesta,2014,154000,298000,8891
10638,BMW,1-Series Hatchback,2013,153000,668000,8891
10639,Mercedes-Benz,C-Class Sedan,2018,43000,1468000,8891
10640,Mini,Countryman S,2011,159000,538000,8891
10641,Mercedes-Benz,C-Class Sedan,2016,109000,1390000,8891
10642,Mercedes-Benz,C-Class Sedan,2011,148000,538000,8891
10643,Volvo,V40,2013,153000,428000,8891
10644,BMW,3-Series Sedan,2014,153000,850000,8891
10645,Honda,City,2014,126000,258000,8891
10646,Mercedes-Benz,E-Class Sedan,2011,108000,588000,8891
10647,Volkswagen,Golf GTI,2011,191000,598000,8891
10648,Hyundai,Elantra,2018,79000,428000,8891
10649,Infiniti,FX35,2008,126000,358000,8891
10650,Mercedes-Benz,GLE,2020,11000,0,8891
10651,Skoda,Yeti,2011,158000,238000,8891
10652,BMW,X4,2015,121000,1188000,8891
10653,Volvo,V60,2013,171000,438000,8891
10654,Audi,Q7,2011,175000,588000,8891
10655,Mitsubishi,Savrin,2009,150000,178000,8891
10656,Ford,Focus,2013,120000,218000,8891
10657,Lexus,RX,2010,140000,468000,8891
10658,Mitsubishi,Lancer Fortis,2013,90000,238000,8891
10659,Toyota,RAV4,2015,73000,528000,8891
10660,Toyota,Vios,2009,170000,148000,8891
10661,Volkswagen,Tiguan,2013,41000,508000,8891
10662,Mercedes-Benz,GLK,2012,82000,998000,8891
10663,Mercedes-Benz,S-Class Sedan,2017,62000,2998000,8891
10664,Honda,HR-V,2019,61000,658000,8891
10665,Toyota,Wish,2014,70000,318000,8891
10666,BMW,5-Series Sedan,2012,100000,777000,8891
10667,Mercedes-Benz,C-Class Sedan,2018,10000,0,8891
10668,Toyota,Camry,2012,168000,358000,8891
10669,Nissan,Sentra,2013,198000,258000,8891
10670,Toyota,RAV4,2011,101000,399000,8891
10671,Mercedes-Benz,C-Class Sedan,2010,120000,468000,8891
10672,BMW,5-Series Sedan,2013,43000,828000,8891
10673,Audi,Q7,2012,91000,578000,8891
10674,Volvo,C30,2011,90000,298000,8891
10675,Lamborghini,LP560-4,2009,20000,0,8891
10676,Mercedes-Benz,CLA,2014,70000,988000,8891
10677,Audi,A4 Avant,2016,143000,898000,8891
10678,Nissan,Tiida,2017,42000,508000,8891
10679,Ford,I-Max,2010,131000,238000,8891
10680,Toyota,Corolla Altis,2014,110000,299000,8891
10681,Nissan,Rogue,2011,140000,150000,8891
10682,Hyundai,Ix35,2016,58000,438000,8891
10683,Lexus,NX,2017,80000,1058000,8891
10684,Volvo,S40,2010,120000,268000,8891
10685,Hyundai,Starex,2010,130000,398000,8891
