,car_brand,car_model,car_year,car_mileage,car_price,source
260,BMW,M3 M3 SEDAN,2016,66000 ,2180000,UsedCar
261,BENZ,C-CLASS C300,2015,94992 ,1190000,UsedCar
262,BMW,1 SERIES 118,2018,53000 ,990000,UsedCar
263,BMW,X5 SERIES X5 35I,2012,65000 ,880000,UsedCar
264,BENZ,E-CLASS E350,2012,153297 ,650000,UsedCar
265,BENZ,E-CLASS E280,2006,165957 ,350000,UsedCar
266,BMW,6 SERIES GRAN COUPE 640,2017,38000 ,1860000,UsedCar
267,NISSAN,SENTRA 1.6,2000,262468 ,50000,UsedCar
268,BENZ,C-CLASS C300,2015,86279 ,1190000,UsedCar
269,MASERATI,GRANTURISMO 4.7,2008,90980 ,1260000,UsedCar
270,BENZ,V-CLASS V250,2017,140000 ,1560000,UsedCar
271,MITSUBISHI,SAVRIN 2.4,2014,122006 ,290000,UsedCar
272,HONDA,ACCORD 3.0,2007,190000 ,190000,UsedCar
273,TOYOTA,RAV-4 2.5,2013,110000 ,490000,UsedCar
274,VOLVO,XC90 2.9,2004,190000 ,250000,UsedCar
275,BENZ,C-CLASS C300,2015,53000 ,1190000,UsedCar
276,TOYOTA,PREVIA 2.4,2016,71000 ,1090000,UsedCar
277,BENZ,CLA-CLASS CLA250,2016,70000 ,1190000,UsedCar
278,HONDA,CRV 2.4,2013,60000 ,540000,UsedCar
279,MITSUBISHI,OUTLANDER 2.4,2019,40000 ,780000,UsedCar
280,BENZ,E-CLASS E200,2015,73854 ,1070000,UsedCar
281,MAZDA,5 七人座,2010,130000 ,290000,UsedCar
282,MITSUBISHI,COLT PLUS 1.6,2013,105000 ,230000,UsedCar
283,BENZ,E-CLASS E43 AMG,2016,20000 ,2480000,UsedCar
284,AUDI,RS6 4.0,2013,80000 ,2480000,UsedCar
285,HONDA,CIVIC 1.8,2016,24728 ,550000,UsedCar
286,BMW,X1 SERIES X1 SDRIVE,2017,39966 ,1100000,UsedCar
287,MINI,HATCH 5D,2019,15000 ,1080000,UsedCar
288,BMW,2 SERIES 218I,2020,8353 ,1490000,UsedCar
